AuthorID,Author,Date,Content,Attachments,Reactions
"820715430683082835","omarzrobles#9845","2021-11-20","is it one person one vote ?","",""
"693277954519728138","Lapsus#4632","2021-11-20","Very interesting questions in the second part too. And excellent hosting taking over, @omarzrobles !","","😘 (5)"
"820715430683082835","omarzrobles#9845","2021-11-20","thank you @Lapsus","","💯 (2)"
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","Thank you everyone!! Looking forward to tomorrows space. Hopefully no more rugs!","",""
"820715430683082835","omarzrobles#9845","2021-11-20","whished y'all could have joined us for the second part as we were trying to keep the conversation going since it was cut so abrutly","",""
"819708932876140575","shanelavalette#2830","2021-11-20","Cheers!","","💜 (1)"
"820715430683082835","omarzrobles#9845","2021-11-20","yeah @shanelavalette you bought a lot of value ser","",""
"820715430683082835","omarzrobles#9845","2021-11-20","brought","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-20","Raised another 5 eth during the spaces!","","🔥 (9)"
"820715430683082835","omarzrobles#9845","2021-11-20","sweet","",""
"827362797792788520","hddamico#7928","2021-11-20","🧡","","🙌 (4),💛 (4)"
"832722913765097535","chadwicktyler#3331","2021-11-20","I am speaking to a family VC that our good friends about investing. They were asking me about the liquidity of the $flames. Do we have any more information on what that will look like? I know $raw will trade on UNI but will $flames as well. Will the liquidity for both coins come on line at the same time?","",""
"832722913765097535","chadwicktyler#3331","2021-11-20","They were saying that this would put them in a forced position for as long as the DAO decided to take to release the coins with an evaluation attached. So they were asking if the $flames would be fractionalized and tradable immediately?  Any insight would be super helpful.","",""
"827362797792788520","hddamico#7928","2021-11-21","a market should be formed around $FLAMES - don’t know if immediately. Yet to be decided if RAW will provide liquidity for this (TBD).

$RAW will have liquidity, provided by RAW / market, after some weeks.","",""
"827362797792788520","hddamico#7928","2021-11-21","do we have a link for today's space?","","👍 (2)"
"819708932876140575","shanelavalette#2830","2021-11-21","Haven't seen a direct link yet, but gather Deeze will be hosting:

https://twitter.com/DeezeFi","",""
"819708932876140575","shanelavalette#2830","2021-11-21","2pm EST","",""
"693277954519728138","Lapsus#4632","2021-11-21","We are having the call in 15 min, right?","",""
"693277954519728138","Lapsus#4632","2021-11-21","If want to do it a bit later, I am totally in for that!","",""
"820715430683082835","omarzrobles#9845","2021-11-21","i;m readu","",""
"819708932876140575","shanelavalette#2830","2021-11-21","What is the agenda for this call? Wasn't aware of it—didn't see it in #📅│calendar  
With family here, but may be able to join shortly!","",""
"693277954519728138","Lapsus#4632","2021-11-21","The draft review!","",""
"823934448835756052","michelleviljoen.eth#8371","2021-11-21","Here you go: https://docs.google.com/document/d/1Vu3dy0KkOXWucRLX88WoGH_mucAXWv9g5usla_65pvc/edit?usp=sharing","",""
"832722913765097535","chadwicktyler#3331","2021-11-21","This was their main issue. Is that we are not providing any timeline and how long they will be locked into two positions.","",""
"809382179468476456","mdr#8647","2021-11-21","Same here 😅","",""
"819708932876140575","shanelavalette#2830","2021-11-21","Thank you @lucaspon for offering to consolidate the docs in some way!","","✨ (6)"
"693277954519728138","Lapsus#4632","2021-11-21","They can always do a private sale once they get the tokens, through airswap","",""
"693277954519728138","Lapsus#4632","2021-11-21","Or sudoswap","",""
"693277954519728138","Lapsus#4632","2021-11-21","Please try to record today's spaces so we can share it later and the most people has access to it","",""
"704460941772849302","cooper#6009","2021-11-21","i hit him up to remind him to do so lol. its posted now","","heart (1)"
"704460941772849302","cooper#6009","2021-11-21","https://twitter.com/deezefi/status/1462488649803644932?s=21","","CoolVibe (1)"
